Price,Close,High,Low,Open,Volume,Close_diff,LogReturn,Volatility
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,
Date,,,,,,,,
2020-04-23,1758.2213134765625,1781.1443533774348,1738.3386161159967,1744.081393721097,2573552,8.348876953125,0.004759788825776558,0.04603503739525129
2020-04-24,1763.9158935546875,1778.6348980459504,1750.837648993507,1751.8511357749637,2744768,5.694580078125,0.003233596367968042,0.028614096476031314
2020-04-27,1786.8870849609375,1795.0429317443964,1754.7948299262582,1775.9323086860115,1770889,22.97119140625,0.012938770196491164,0.028569209338114025
2020-04-28,1760.8753662109375,1799.0964912814807,1743.4056223434802,1782.8814113994865,1934910,-26.01171875,-0.014663994684311748,0.027878043518506396
2020-04-29,1705.9569091796875,1782.688775816058,1694.7608364797463,1782.5922813087996,2931120,-54.91845703125,-0.031684862212912154,0.029085018743151995
2020-04-30,1697.463134765625,1734.4296001949017,1680.3794846629514,1732.4992389259035,2926333,-8.4937744140625,-0.004991327510806179,0.02902614426812983
2020-05-04,1618.4150390625,1690.0313996167538,1613.2995342429492,1658.180436631401,2942397,-79.048095703125,-0.04768756346763188,0.031243224995755103
2020-05-05,1562.7724609375,1633.9545424347652,1523.296544041474,1622.4688677546128,5867890,-55.642578125,-0.034985836951097346,0.030718245927542805
2020-05-06,1554.5679931640625,1581.641235449676,1522.0896458320149,1558.766504767726,3937921,-8.2044677734375,-0.005263773295135425,0.029466519524420032
2020-05-07,1538.787353515625,1571.9894692200332,1491.3968956244926,1553.8923344306154,5256213,-15.7806396484375,-0.010203015676293451,0.02686626853031987
2020-05-08,1523.44091796875,1580.965651948187,1515.3333782409363,1555.6779700889354,5644426,-15.346435546875,-0.010023135224081024,0.02247755930017944
2020-05-11,1514.947509765625,1543.3238441603207,1500.8558959782981,1527.8809539123124,3767646,-8.493408203125,-0.005590746889635247,0.02242645647345967
2020-05-12,1470.30810546875,1489.9978167816212,1459.353327270485,1485.4132081146008,4504073,-44.639404296875,-0.029908816956183477,0.022336061280299822
2020-05-13,1508.8670654296875,1524.7925472962381,1479.9598321981532,1524.7925472962381,2940514,38.5589599609375,0.025887107039632484,0.0228246981385104
2020-05-14,1469.3907470703125,1503.3650519309463,1464.178749053542,1499.214846669723,2592264,-39.476318359375,-0.026511224321185228,0.02253546481734154
2020-05-15,1498.876953125,1505.6815225181788,1457.4224993605449,1475.7609281604457,2860493,29.4862060546875,0.019868272673255156,0.022828466284311053
2020-05-18,1448.83251953125,1504.2822135666145,1445.9369778422981,1503.7513171290161,2871905,-50.04443359375,-0.03395805660327994,0.02343326339755076
2020-05-19,1451.58349609375,1464.130845448371,1431.314700982439,1457.4228865752114,3164137,2.7509765625,0.001896953659484606,0.02347000510123585
2020-05-20,1447.8192138671875,1461.2834361809219,1440.676853825177,1451.5833239713124,2057402,-3.7642822265625,-0.0025965929662835566,0.023469789555033465
2020-05-21,1519.48388671875,1528.3635012335747,1448.73610063252,1450.6664618592122,3845743,71.6646728515625,0.048312295120128856,0.023361465406551922
2020-05-22,1561.5657958984375,1568.4185549437495,1501.2420053236779,1514.175449586887,5203736,42.0819091796875,0.02731830420825467,0.02447991283739903
2020-05-26,1573.099365234375,1599.2557324035554,1563.5923611702483,1568.418263519539,3552636,11.5335693359375,0.007358758138125435,0.024578371851236434
2020-05-27,1563.0616455078125,1579.855811189092,1540.379901843642,1574.2095283515648,2260057,-10.0377197265625,-0.006401300168047894,0.02418271708959436
2020-05-28,1586.3709716796875,1599.256110434094,1559.0081224551818,1565.5230921667264,3138915,23.309326171875,0.014802508655218006,0.02456600780688883
2020-05-29,1624.495361328125,1639.8417556483175,1576.2363337928596,1581.9309226059993,3532977,38.1243896484375,0.023748220856194654,0.024549845375413205
2020-06-01,1634.2921142578125,1652.2927567090856,1622.9512417684996,1647.080757703208,2529255,9.7967529296875,0.0060125322784793335,0.02461303350809587
2020-06-02,1649.783203125,1672.6579356127504,1621.5033651641204,1634.2920077762778,2440552,15.4910888671875,0.00943413427882971,0.022217366819907578
2020-06-03,1656.7808837890625,1683.2750453741287,1646.453380192589,1663.9714324684621,3088817,6.9976806640625,0.004232605766619865,0.020545625995792717
2020-06-04,1576.86376953125,1659.7244986003286,1570.3488006288255,1656.6841562152183,4388930,-79.9171142578125,-0.04943857459094397,0.02361675825079831
2020-06-05,1581.496826171875,1601.5725133171131,1564.5578583687911,1592.5480976610152,2884206,4.633056640625,0.0029338385047896457,0.023479491595741805
2020-06-08,1577.3463134765625,1607.9907959320503,1572.279115590222,1599.304170984038,2046505,-4.1505126953125,-0.0026278703312195856,0.023348510460202806
2020-06-09,1584.874755859375,1635.9810184219452,1579.759251859657,1582.896088620643,3671930,7.5284423828125,0.004761499238284917,0.023292155508999116
2020-06-10,1578.987060546875,1616.773902329912,1571.2174278757589,1590.617533205857,2069280,-5.8876953125,-0.0037218452957683487,0.02209408701037521
2020-06-11,1554.519775390625,1588.6871905372388,1551.0451489631487,1578.9870788498051,1888420,-24.46728515625,-0.015616868706867385,0.02183480028226396
2020-06-12,1580.338623046875,1585.7436114968305,1522.5725807118988,1524.9855325038352,2391556,25.81884765625,0.01647247064083075,0.02103431394428867
2020-06-15,1561.8553466796875,1593.1755307871922,1546.315961122236,1572.2793452679912,1681166,-18.4832763671875,-0.011764703090421625,0.02093887484734444
2020-06-16,1565.2333984375,1583.1375464566488,1551.6726811229084,1581.9310706553558,1497691,3.3780517578125,0.002160509884533261,0.01915027257722906
2020-06-17,1539.8492431640625,1566.1504160574448,1535.023339880873,1551.5762117061936,1812788,-25.3841552734375,-0.01635043166988854,0.019676362760786683
2020-06-18,1542.165771484375,1556.0642793255383,1532.0313741219127,1539.8493142375446,1417273,2.3165283203125,0.001503255983854064,0.019636836523374456
2020-06-19,1566.0054931640625,1573.244347523835,1535.6506110100424,1542.1655799338373,2714342,23.8397216796875,0.01534033176191306,0.01682970721235801
2020-06-22,1594.6231689453125,1615.2297514121965,1567.4533112001236,1576.1399366932278,2034739,28.61767578125,0.018109345278960166,0.01620060436108801
2020-06-23,1625.267822265625,1630.1902203260731,1583.8615462137868,1602.0551790459838,2334863,30.6446533203125,0.01903516529431799,0.016644330627587557
2020-06-24,1686.4117431640625,1750.5962507733973,1625.364072392778,1625.364072392778,11545923,61.1439208984375,0.036930426888499096,0.01828325370855534
2020-06-25,1630.190185546875,1686.1706655715755,1624.5439020738827,1679.4144007410082,4054785,-56.2215576171875,-0.03390635652992697,0.019911838284946172
2020-06-26,1628.018310546875,1650.7965482124246,1612.5271154217178,1650.4587585802024,2129986,-2.171875,-0.0013331714801462103,0.019205031283637115
2020-06-29,1633.037109375,1648.9625877179174,1615.7604725801077,1628.2595130000793,2753482,5.018798828125,0.0030780236115596857,0.01916872469783228
2020-06-30,1628.694091796875,1658.1804087071448,1623.0961145432423,1649.3972880806518,1960731,-4.343017578125,-0.002663015360162933,0.019044549591033175
2020-07-01,1629.224853515625,1638.8766595198645,1621.5517148702136,1638.8766595198645,1661296,0.53076171875,0.0003258286853387358,0.019011913674518034
2020-07-02,1627.7286376953125,1644.6676029166874,1602.296154606206,1640.806880844113,2038399,-1.4962158203125,-0.0009187824938882959,0.01519685812925543
2020-07-03,1636.6083984375,1660.1105209108355,1631.155104848437,1636.3671033036467,1988941,8.8797607421875,0.005440481510602377,0.015218867632099882
